draftMulAccelFactor , y = 1 * x + 0 , 1 , true
draftTick , y = 1 * x + 0, 0 , true
driftBoostMulAccelFactor , y = (  ( 1.0 * x )  + 0.0 )  , 1.31 , True
driftBoostTick , y = 1 * x + 0 , 0 , true
chargeBoostBySpeed , y = 1 * x + 0 , 0 , true
SpeedSlotCapacity , y = 1 * x + 0 , 2 , true
ItemSlotCapacity , y = 1 * x + 0 , 2 , true
SpecialSlotCapacity , y = 1 * x + 0 , 1 , true
UseTransformBooster , y = x ? 1 : 0 , 0 , false
motorcycleType , y = x ? 1 : 0 , 0 , false
BikeRearWheel , y = x ? 1 : 0 , 1 , false
Mass , y = 100 , 100 , false
AirFriction , y = 3 , 3 , false
DragFactor , y = (  ( 1.0001 * x )  + 0.7500085 )  ,  0.75 , True
ForwardAccelForce , y = (  ( 1.0 * x )  + 2150.0 )  , None , True
BackwardAccelForce , y = (  ( 1.0 * x )  + 1725.0 ) , None , True
GripBrakeForce , y = (  ( 1.0 * x )  + 2070.0 )  , 2070 , True
SlipBrakeForce , y = (  ( 1.0 * x )  + 1415.0 )  , 1415 , True
MaxSteerAngle , y = 10 , 10 , false
SteerConstraint , y = (  ( 1.0000 * x )  + 22.250 )  , 22.25 , True
FrontGripFactor , y = 5 , 5 , false
RearGripFactor , y = 5 , 5 , false
DriftTriggerFactor , y = 0.2 , 0.2 , false
DriftTriggerTime , y = 0.2 , 0.2 , false
DriftSlipFactor , y = 0.2 , 0.2 , false
DriftEscapeForce , y = (  ( 1.0 * x )  + 2600.0 )  , 2600 , True
CornerDrawFactor , y = (  ( 1.0 * x )  + 0.18 )  , 0.18 , True
DriftLeanFactor , y = 1 * x + 0.07 , 0.07 , true
SteerLeanFactor , y = 1 * x + 0.01 , 0.01 , true
DriftMaxGauge , y = (  ( 1.0 * x )  + 4300.0 )  , 4300 , True
NormalBoosterTime , y = (  ( 1.0 * x )  + 3000.0 )  , 3000 , True
ItemBoosterTime , y = (  ( 1.0 * x )  + 3000.0 )  , 3000 , True
TeamBoosterTime , y = (  ( 1.0 * x )  + 4500.0 )  , 4500 , True
